,year,movies
0,2013,"Papers, Please"
1,2014,Alien: Isolation
2,2014,Destiny
3,2014,Hearthstone
4,2014,Mario Kart 8
5,2014,Shovel Knight
6,2015,Bloodborne
7,2015,Rocket League
8,2015,Undertale
9,2015,The Witcher 3: Wild Hunt
10,2016,Dishonored 2
11,2016,Inside
12,2016,Overwatch
13,2016,Persona 5
14,2016,Stardew Valley
15,2016,Uncharted 4: A Thief's End
16,2017,Fortnite
17,2017,The Legend of Zelda: Breath of the Wild
18,2017,Super Mario Odyssey
19,2018,God of War
20,2018,Red Dead Redemption 2
21,2018,Super Smash Bros. Ultimate
22,2019,Disco Elysium
23,2020,Hades
24,2022,Elden Ring
